BASIN,2022-08_ALLOCATIONS,2022-08_DEMAND,2022-08_FLOW,2022-08_PROPORTIONS
R_01,9.542059566000011,9.542059565999999,45.0049343,1.0
R_02,4.9979937160000025,4.997993716,29.2760172,1.0
R_02_M,0.0,39.368175969,0.0,0.0
R_03,2.022e-05,2.022e-05,4.6809892,1.0
R_03_M,0.0,0.0,0.0,0.0
R_04,2.851355503,2.851355503,21.7586659,1.0
R_04_M,0.0,137.559020393,0.0,0.0
R_05,14.126325068000009,14.126325068000003,22.0561864,1.0
R_05_M,0.0,20.691446619000004,0.0,0.0
R_06,3.1639215210000002,3.1639215210000007,46.8693961,1.0
R_06_M,0.0,26.008792733000007,0.0,0.0
R_07,0.0012132,0.0012131999999999998,4.3437993,1.0
R_08,7.557529421,7.557529421000001,15.054537300000002,1.0
R_09,5.601286393,5.6012863930000005,18.2875934,1.0
R_09_M,0.0,149.28279685599998,0.0,0.0
R_10,8.211564194659168,20.619688666000002,8.211565799999999,0.398239
R_10_M,0.0,157.22469226499996,0.0,0.0
R_11,1.4706868680000003,1.470686868,11.8214812,1.0
R_12,4.031499840000001,4.0314998399999995,13.090902,1.0
R_12_M,0.0,77.369255932,0.0,0.0
R_13,0.0,0.0,0.8925615,0.0
R_13_M,0.0,13.569127739,0.0,0.0
