BASIN,2022-07_ALLOCATIONS,2022-07_AVAILABLE_FLOW,2022-07_DEMAND
R_14,0.0,10.002272495511543,0.0
R_14_M,34.0704197,838.2164353031678,119.0704197
R_15,0.0,2.4186286034344304,0.0
R_15_M,31.170808800000003,811.3134260866022,31.170808800000003
R_16,0.0,13.313759321709151,0.0
R_16_M,39.24250513299999,793.6647590083114,39.24250513299999
R_17,0.0,6.860315711610744,0.0
R_17_M,89.49692860000002,740.2985061869222,89.49692860000002
R_18,0.0,17.14513827761696,0.0
R_18_M,663.9338198,967.1385944826334,1746.5918198
R_19,0.0,5.651001409893528,0.0
R_19_M,54.477672,970.7693936925269,54.477672
R_20,0.0,61.57331136219989,0.0
R_21,0.0,30.085931506273145,0.0
R_21_M,131.43776973,1062.422457868,131.437769733
R_22,0.0,140.31436500765628,0.0
R_23,0.0,12.059237008712788,0.0
R_24,0.0,25.361694327602148,0.0
R_24_M,18.59285102,215.44775199609427,18.59285102
R_25,0.0,191.10556567977935,0.0
R_26,0.0,158.9965756687643,0.0
R_27,0.0,158.9965756687643,0.0
R_28,0.0,32.10899001101503,0.0
