,BASIN,2022-06_ALLOCATIONS,2022-06_DEMAND,2022-06_FLOW,2022-06_PROPORTIONS
0,R_01,0.0,0.0,16.234913042505553,0.0
1,R_02,0.0,0.0,10.127024586584538,0.0
2,R_02_MSRR,6.864603112645602,14.697224199999999,0.0,0.46706800000000004
3,R_03,0.0,0.0,1.5965258542905167,0.0
4,R_03_MSRR,0.0,0.0,0.0,0.46706800000000004
5,R_04,0.0,0.0,8.547619654496351,0.0
6,R_04_MSRR,29.641457456094393,63.462830800000006,0.0,0.46706800000000004
7,R_05,0.0,0.0,7.396237737544119,0.0
8,R_05_MSRR,4.823921450310445,10.148338667,0.0,0.47534099999999996
9,R_06,0.0,0.0,16.5131280037466,0.0
10,R_06_MSRR,5.069537908754992,10.665055000000002,0.0,0.47534099999999996
11,R_07,0.0,0.0,1.4552782585835238,0.0
12,R_08,0.0,0.0,4.352994085015958,0.0
13,R_09,0.0,0.0,5.4744143894628365,0.0
14,R_09_MSRR,9.294166031352596,19.552628600000002,0.0,0.47534099999999996
15,R_10,0.0,0.0,2.5467369528988097,0.0
16,R_10_MSRR,18.551169808256983,39.02707700000001,0.0,0.47534099999999996
17,R_11,0.0,0.0,3.826525775039216,0.0
18,R_12,0.0,0.0,3.728080480198431,0.0
19,R_12_MSRR,7.5546068092807985,15.035808800000002,0.0,0.502441
20,R_13,0.0,0.0,0.2568138103763506,0.0
21,R_13_MSRR,0.0028657561511470004,0.005703667,0.0,0.502441
