USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,2022-09_ALLOCATIONS,2022-09_CURTAILMENT,2022-09_DEMAND,2022-09_SHORTAGE_%,2022-10_ALLOCATIONS,2022-10_CURTAILMENT,2022-10_DEMAND,2022-10_SHORTAGE_%,BASIN,PRIORITY
S000093,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_27,10000000
S000549,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_25,10000000
S000632,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_26,10000000
S000652,1.2e-05,0,1.2e-05,0,1.2e-05,0,1.2e-05,0,6e-06,0,6e-06,0,R_14,10000000
S001181,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S002378,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_17,10000000
S002720,0.000128,0,0.000128,0,9.23e-05,0,9.23e-05,0,6.63e-05,0,6.63e-05,0,R_18,10000000
S002929,2.022e-05,0,2.022e-05,0,2.022e-05,0,2.022e-05,0,2.022e-05,0,2.022e-05,0,R_27,10000000
S003106,0.69,0,0.69,0,0.69,0,0.69,0,0.36,0,0.36,0,R_18,10000000
S004341,0.002148333,0,0.002148333,0,0.001534333,0,0.001534333,0,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S004460,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S008502,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_18,10000000
S008582,0.000485667,0,0.000485667,0,0.000485667,0,0.000485667,0,0.000485667,0,0.000485667,0,R_20,10000000
S008583,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008584,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008585,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008586,0.00179,0,0.00179,0,0.001739,0,0.001739,0,0.001125333,0,0.001125333,0,R_20,10000000
S008587,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008588,0.003785,0,0.003785,0,0.002762,0,0.002762,0,0.001841333,0,0.001841333,0,R_20,10000000
S008589,0.065981,0,0.065981,0,0.051956333,0,0.051956333,0,0.063843,0,0.063843,0,R_20,10000000
S008590,0.003580667,0,0.003580667,0,0.002557667,0,0.002557667,0,0.002250667,0,0.002250667,0,R_20,10000000
S008591,0.015242,0,0.015242,0,0.015242,0,0.015242,0,0.013912333,0,0.013912333,0,R_20,10000000
S008592,0.011763667,0,0.011763667,0,0.011763667,0,0.011763667,0,0.012684667,0,0.012684667,0,R_20,10000000
