BASIN,2022-07_ALLOCATIONS,2022-07_AVAILABLE_FLOW,2022-07_DEMAND
R_14,0.16830482000000005,17.5534953,0.16830448700000003
R_14_M,0.0,263.7801018,0.0
R_15,3.6685390399999993,4.2444236,3.668546873
R_15_M,0.0,268.0245254,0.0
R_16,8.000738810000003,15.319268417000002,8.000742146000004
R_16_M,0.0,283.34379381699995,0.0
R_17,0.0694264,11.88105768,0.0694264
R_17_M,0.0,295.224851497,0.0
R_18,9.058168420000001,27.863796602999997,9.058165420000002
R_18_M,0.0,701.807181391,0.0
R_19,0.022493,9.9171478,0.022493
R_19_M,0.0,711.7243291909999,0.0
R_20,2.38508722,107.380825327,2.385087005
R_21,3.53102514,51.39458109900001,3.5310221390000005
R_21_M,0.0,870.4997356169999,0.0
R_22,0.77186344,246.22660649999997,0.771863506
R_23,0.25727919999999993,11.696149432999997,0.25727919999999993
R_24,2.77580278,32.944689264999994,2.775806146
R_24_M,0.0,378.718533291,0.0
R_25,3.3164219999999998,334.07769459300005,3.31642
R_26,2.8849475999999994,279.03269936000004,2.8849509329999994
R_27,0.08201618999999999,279.03312398,0.08201621999999999
R_28,0.6678802000000001,56.3122685,0.6678798670000001
