BASIN,2022-08_ALLOCATIONS,2022-08_DEMAND,2022-08_FLOW,2022-08_PROPORTIONS
R_14,0.0,0.0,1.1651374168877051,0.0
R_14_M,0.0,0.0,0.0,0.0
R_15,0.0,0.0,0.310076893203986,0.0
R_15_M,0.0,0.0,0.0,0.0
R_16,0.0,0.0,1.6161583524571397,0.0
R_16_M,0.0,0.0,0.0,0.0
R_17,0.0,0.0,0.7869375698737524,0.0
R_17_M,25.93138191574087,61.71640506400001,0.0,0.42017
R_18,0.0,0.0,1.942678717270428,0.0
R_18_M,5.794670845000002,5.794670845,0.0,1.0
R_19,0.0,0.0,0.7094183465727559,0.0
R_19_M,4.139202200000001,4.1392022,0.0,1.0
R_20,0.0,0.0,5.2783543865860345,0.0
R_21,0.0,0.0,3.2111750985594614,0.0
R_21_M,0.006178693000000001,0.006178693000000001,0.0,1.0
R_22,0.0,0.0,22.05304449544713,0.0
R_23,0.0,0.0,1.7594514621953448,0.0
R_24,0.0,0.0,1.7594514621953448,0.0
R_24_M,0.0,0.0,0.0,0.0
R_25,0.0,0.0,0.0,0.0
R_26,0.0,0.0,0.0,0.0
R_27,0.0,0.0,26.932057428664393,0.0
R_28,0.0,0.0,4.39275598705647,0.0
