BASIN,2022-08_ALLOCATIONS,2022-08_AVAILABLE_FLOW,2022-08_DEMAND,2022-09_ALLOCATIONS,2022-09_AVAILABLE_FLOW,2022-09_DEMAND,2022-10_ALLOCATIONS,2022-10_AVAILABLE_FLOW,2022-10_DEMAND
R_14,0.00184002,9.8179623,0.00184002,0.00184002,6.803087899999999,0.00184002,0.00184002,5.3948302,0.00184002
R_14_M,0.0,195.4495193,0.0,0.0,146.42345023299998,0.0,0.0,112.8030974,0.0
R_15,2.61797704,2.6179782,3.129672573,1.84442104,1.8444249000000001,2.4033170729999997,0.8365910400000001,1.5667391000000002,0.836591507
R_15_M,0.0,198.0674975,0.0,0.0,148.26787513299996,0.0,0.0,114.3698365,0.0
R_16,6.3800794199999995,6.380079549000001,8.334175813000005,2.96128942,2.9612913170000006,4.266044345999999,3.3585418770000004,3.5216914170000013,3.3585422129999998
R_16_M,0.0,204.447577049,0.0,0.0,151.22916644999998,0.0,0.0,117.891527917,0.0
R_17,0.0694264,6.4475996129999995,0.0694264,0.0664264,4.33558548,0.0664264,1.9931538,3.5406771800000003,1.9931531339999995
R_17_M,0.0,210.89517666199998,0.0,0.0,155.56475192999997,0.0,0.0,121.43220509700001,0.0
R_18,7.49913242,14.067199011000003,7.499135753000001,5.129321119999999,9.120473463,5.129324453,2.5954858199999995,7.641601135099999,2.595489852
R_18_M,0.0,492.3715015,0.0,0.0,456.160906253,0.0,0.0,898.1911736610999,0.0
R_19,0.022493,5.732026099999999,0.022493,0.013493,4.046076599999999,0.013492999999999998,0.013493,3.2725233,0.013492999999999998
R_19_M,0.0,498.1035276,0.0,0.0,460.206982853,0.0,0.0,901.4636969611,0.0
R_20,2.0294068899999997,43.25725804,2.0294063430000002,1.63497939,24.938399125,1.634979332,1.7359632499999997,17.935146795,1.735962456
R_21,4.24267894,24.279013267,4.242675606999999,8.217023939999999,15.792106434000003,8.217021107,7.07718974,11.9458118,7.0771855729999995
R_21_M,0.0,565.639798907,0.0,0.0,500.93748841199994,0.0,0.0,931.3446555561,0.0
R_22,0.70153044,185.63155700000002,0.701530173,0.47765584000000005,139.62036233299997,0.47765584000000005,0.46586184,107.4082672,0.46586150700000006
R_23,0.0,0.0,0.290612533,0.3406121999999999,8.514056499999999,0.340612533,11.028264700000003,47.1578428,11.028264067
R_24,0.0,0.0,0.389686013,0.11096717999999998,13.814183332999995,0.110967213,3.426143379999999,154.10235706900002,3.4261463469999995
R_24_M,0.0,267.409125827,0.0,0.0,291.47568086,0.0,0.0,769.117367429,0.0
R_25,3.3533534999999994,267.409125827,3.3533514669999995,3.3164219999999998,269.147441027,3.3164199999999995,1.1988919999999998,567.85716756,1.1988879999999997
R_26,3.4982875999999994,231.15173356,3.4982842669999994,2.2482875999999994,220.04430156,2.2482842669999994,1.5382875999999996,465.18135886000005,1.5382842669999996
R_27,0.09817121999999999,231.15215818000001,0.09817121999999999,0.09565658999999999,220.04472618000003,0.09565655399999998,8.07218279,465.18178348000004,8.072179421000001
R_28,0.6678802000000001,38.091332200000004,0.6678798669999999,0.6678802000000001,49.437079399999995,0.6678798669999999,0.6678802000000001,103.343081967,0.6678798669999999
