USER,RIPARIAN,BASIN,MAINSTEM_RR,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
S026314,Y,R_02_M,Y,Y,10000000,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S014313,Y,R_02_M,Y,Y,10000000,PVID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,N,N
S008071,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.6333333329999999,18.36666667,29.06666667,28.53333333,13.46666667,8.9,4.5,0.0002022,N,N,N
S008184,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.7666666670000001,0.0002022,0.7666666670000001,0.566666667,0.0002022,0.0002022,0.7,0.0002022,0.0002022,N,N,N
S014373,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,3.666666667,1.333333333,4.533333333,1.333333333,3.066666667,3.4,0.0002022,0.0002022,0.0002022,N,N,N
S014374,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,1.956666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.05,0.0002022,N,N,Y
S015023,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.089032667,0.310980667,0.200041667,0.453436667,1.028390667,1.4908676669999998,1.517694,1.752746,1.985243667,1.495509,1.4277356669999999,0.226666667,N,N,N
S015147,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.004757,0.006445,0.006445,0.018413,0.036827,0.036827,0.036827,0.036827,0.036827,0.018413,0.018413,0.009514,N,N,N
S016093,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.018413,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.3466666669999998,0.373333333,N,N,Y
S017348,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,2.0,0.39524620899999996,3.333333333,2.666666667,5.333333333,3.333333333,2.666666667,2.666666667,0.0002022,0.0002022,N,N,N
S018277,Y,R_02_M,Y,Y,10000000,RIPARIAN,3.0,2.5,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S018387,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S021388,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.00033333300000000006,0.000666667,0.003333333,0.001,0.10300000000000001,0.075733333,0.172666667,0.175333333,0.278333333,0.11533333300000001,0.038333333,0.031333333,N,N,N
S022156,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.1,0.006666666999999999,2.03,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
S022335,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.174333333,0.556666667,0.6273333329999999,0.35033333299999997,0.035,0.0002022,0.0002022,0.0002022,N,N,N
S023470,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.2,0.0002022,0.73,0.93,1.49,2.103333333,2.386666667,6.136666667,0.483333333,0.0002022,N,N,N
S026091,Y,R_02_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.000898,0.010280333000000001,0.017518000000000002,0.023235667,0.014005000000000002,0.018147333,0.023706,0.004085,0.0002022,N,N,N
S026879,Y,R_02_M,Y,Y,10000000,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S027405,Y,R_02_M,Y,Y,10000000,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S008596,Y,R_04_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,1.176666667,0.203333333,0.0002022,0.843333333,3.2233333330000002,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
S013153,Y,R_04_M,Y,Y,10000000,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
