APPL_ID,WATER_RIGHT_TYPE,WATER_RIGHT_STATUS_2021,WATER_RIGHT_STATUS,RIPARIAN,BASIN,MAINSTEM,MAINSTEM_RR,UPPER_RUSSIAN,PRIORITY,ASSIGNED_PRIORITY_DATE_SUB,ASSIGNED_PRIORITY_DATE_SOURCE,PRIORITY_CLASS,JAN_MEAN_DIV,FEB_MEAN_DIV,MAR_MEAN_DIV,APR_MEAN_DIV,MAY_MEAN_DIV,JUN_MEAN_DIV,JUL_MEAN_DIV,AUG_MEAN_DIV,SEP_MEAN_DIV,OCT_MEAN_DIV,NOV_MEAN_DIV,DEC_MEAN_DIV,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND,DEMAND_ZEROED_POWER,DEMAND_ZEROED_OTHER,LATITUDE,LONGITUDE,QAQC_MODIFICATION,PRIMARY_USE,YEAR_ADDED
S016896,Statement of Div and Use,Claimed,Claimed,Y,R_01,N,N,Y,10000000,10000000,RIPARIAN_DEFAULT,RIPARIAN,0.066666667,0,0,0.133333333,0,0,0,0,0,0,0.233333333,0.466666667,N,N,Y,N,N,39.3241,-123.2288,N,Irrigation,2021
A002723,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,55,19220116,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.21456205,-123.2004597,N,Irrigation,2021
A004307,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,60,19241107,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27928439,-123.2082721,N,Irrigation,2021
A006464,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,63,19291021,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2905258,-123.2098779,N,Irrigation,2021
A006642,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,64,19300416,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.24992704,-123.2060042,N,Irrigation,2021
A006805A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,65,19300926,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.28640411,-123.2101606,N,Irrigation,2021
A009832A,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,69,19400220,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0.006598,0.006444667,0.008235,0.008286,0.009564667,0.000358,0,0,N,N,N,N,N,39.27516998,-123.2078484,N,Irrigation,2021
A009832B,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,70,19400220,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2737,-123.2077,N,Irrigation,2021
A015610,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,194,19531112,APPLICATION_ACCEPTANCE_DATE,1953-1954,,,,,,,,,,,,,Y,N,N,N,N,39.25455047,-123.2103214,N,Irrigation,2021
A015663,Appropriative,Licensed,Licensed,N,R_01,N,N,Y,195,19531228,APPLICATION_RECD_DATE,1953-1954,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.2401125,-123.1991278,N,Industrial,2021
