USER,BASIN,PRIORITY,rip_allocations,rip_demand,rip_shortage,rip_shortage_%
S000093,L_27,10000000,0.00099,0.00099,0.0,0.0
S000549,L_25,10000000,0.00099,0.00099,0.0,0.0
S000632,L_26,10000000,0.00099,0.00099,0.0,0.0
S000652,L_14,10000000,8.038538507999999e-06,1.2e-05,3.9614614920000014e-06,0.3301217910000001
S001181,L_21,10000000,0.00099,0.00099,0.0,0.0
S002378,L_17,10000000,0.0006631794269099999,0.00099,0.00032682057309000006,0.33012179100000005
S002720,L_18,10000000,9.23e-05,9.23e-05,0.0,0.0
S002929,L_27,10000000,0.00099,0.00099,0.0,0.0
S003106,L_18,10000000,0.69,0.69,0.0,0.0
S004341,L_21,10000000,0.001534333,0.001534333,0.0,0.0
S004347,L_14_MSDC,10000000,1.65459917623,2.47,0.8154008237700001,0.330121791
S004460,L_21,10000000,0.00099,0.00099,0.0,0.0
S005225,L_15_MSDC,10000000,0.706906396880684,1.055276,0.3483696031193161,0.33012179100000005
S005226,L_15_MSDC,10000000,0.6997878242230845,1.044649333,0.34486150877691546,0.33012179100000005
S008502,L_18,10000000,0.00099,0.00099,0.0,0.0
S008582,L_20,10000000,0.00048566699999999996,0.00048566699999999996,0.0,0.0
S008583,L_20,10000000,0.00099,0.00099,0.0,0.0
S008584,L_20,10000000,0.00099,0.00099,0.0,0.0
S008585,L_20,10000000,0.00099,0.00099,0.0,0.0
S008586,L_20,10000000,0.001739,0.001739,0.0,0.0
S008587,L_20,10000000,0.00099,0.00099,0.0,0.0
S008588,L_20,10000000,0.002762,0.002762,0.0,0.0
S008589,L_20,10000000,0.051956333,0.051956333,0.0,0.0
S008590,L_20,10000000,0.002557667,0.002557667,0.0,0.0
S008591,L_20,10000000,0.015241999999999999,0.015241999999999999,0.0,0.0
S008592,L_20,10000000,0.011763667,0.011763667,0.0,0.0
S008593,L_20,10000000,0.25880966699999997,0.25880966699999997,0.0,0.0
S008661,L_15_MSDC,10000000,0.0006631794269099999,0.00099,0.00032682057309000006,0.33012179100000005
S008664,L_15_MSDC,10000000,0.0006631794269099999,0.00099,0.00032682057309000006,0.33012179100000005
S009168,L_16,10000000,0.0006631794269099999,0.00099,0.00032682057309000006,0.33012179100000005
S009291,L_17_MSRR,10000000,1.03161244186,1.54,0.5083875581400001,0.3301217910000001
S009292,L_17_MSRR,10000000,5.57561962602004,8.323333332999999,2.747713706979959,0.330121791
S009324,L_20,10000000,0.093601,0.093601,0.0,0.0
S009689,L_24_LSR,10000000,0.00099,0.00099,0.0,0.0
S012930,L_18,10000000,0.00099,0.00099,0.0,0.0
S013563,L_16,10000000,0.22105980897,0.33,0.10894019103000002,0.33012179100000005
S013709,L_16,10000000,0.011849028830235597,0.017688333,0.005839304169764404,0.33012179100000005
S013760,L_16,10000000,0.0006631794269099999,0.00099,0.00032682057309000006,0.33012179100000005
S013814,L_16,10000000,0.6497818627299999,0.97,0.32021813727000004,0.33012179100000005
S013850,L_21,10000000,0.2116,0.2116,0.0,0.0
S014058,L_16,10000000,1.0941344078100406,1.6333333330000002,0.5391989251899596,0.3301217910000001
