BASIN,2022-08_ALLOCATIONS,2022-08_DEMAND,2022-08_FLOW,2022-08_PROPORTIONS
R_14,0.00021419999999999998,0.00021419999999999998,9.8380112,1.0
R_14_M,17.5002022,17.500202199999997,0.0,1.0
R_15,0.00020219999999999998,0.00020219999999999998,2.6181804,1.0
R_15_M,30.257748487,30.257748487,0.0,1.0
R_16,7.266194051,7.266194050999999,13.6462736,1.0
R_16_M,29.521015066000004,29.521015066000004,0.0,1.0
R_17,0.197024887,0.197024887,6.6446245,1.0
R_17_M,25.93138191574087,61.71640506400001,0.0,0.42017
R_18,2.276593789,2.276593789,16.4032969,1.0
R_18_M,5.794670845000002,5.794670845,0.0,1.0
R_19,0.00020219999999999998,0.00020219999999999998,5.9900794,1.0
R_19_M,4.139202200000001,4.1392022,0.0,1.0
R_20,0.6766024599999999,0.67660246,44.5685709,1.0
R_21,1.269172933,1.2691729330000001,27.1140349,1.0
R_21_M,0.006178693000000001,0.006178693000000001,0.0,1.0
R_22,0.021234999999999997,0.021234999999999997,186.2081636,1.0
R_23,14.856192342717215,17.734142130000002,14.856190300000002,0.837717
R_24,14.856197938312889,16.29154853,14.856190300000002,0.911896
R_24_M,0.715419533,0.7154195329999999,0.0,1.0
R_25,1.833939933,1.833939933,0.0,1.0
R_26,0.00042461999999999996,0.00042461999999999996,0.0,1.0
R_27,0.00143562,0.0014356199999999999,227.4048355,1.0
R_28,0.0309612,0.0309612,37.090889,1.0
