APPL_ID,WATER_RIGHT_TYPE,WATER_RIGHT_STATUS_2021,WATER_RIGHT_STATUS,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,ASSIGNED_PRIORITY_DATE_SUB,ASSIGNED_PRIORITY_DATE_SOURCE,PRIORITY_CLASS,JAN_MEAN_DIV,FEB_MEAN_DIV,MAR_MEAN_DIV,APR_MEAN_DIV,MAY_MEAN_DIV,JUN_MEAN_DIV_ALL,JUN_MEAN_DIV,JUL_MEAN_DIV,AUG_MEAN_DIV,SEP_MEAN_DIV,OCT_MEAN_DIV,NOV_MEAN_DIV,DEC_MEAN_DIV,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND,DEMAND_ZEROED_POWER,DEMAND_ZEROED_OTHER,LATITUDE,LONGITUDE,QAQC_MODIFICATION,PRIMARY_USE,YEAR_ADDED
A001029,Appropriative,Licensed,Licensed,N,R_26,N,N,31,19180726,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,1,2.21,1.105,2.88,3.49,2.24,1.53,0.1,0,N,N,N,N,N,38.43,-122.72,N,Irrigation,2021
A001205,Appropriative,Licensed,Licensed,N,R_24,N,N,32,19190307,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.5,-122.77,N,Irrigation,2021
A001983,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,54,19200826,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,,,,,,,0,,,,,,,Y,N,N,N,N,39.13,-123.18,N,Domestic,2021
A002723,Appropriative,Licensed,Licensed,N,R_01,N,Y,55,19220116,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.21,-123.2,N,Irrigation,2021
A002928,Appropriative,Licensed,Licensed,N,R_13,N,Y,56,19220714,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.6,-122.85,N,Irrigation,2021
A003421,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,57,19230516,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.12,-123.19,N,Irrigation,2021
A003565,Appropriative,Licensed,Licensed,N,R_06_MSRR,Y,Y,58,19230803,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0.03,0,0,6.67E-03,0.1,0.18,0.09,2.9,3.6,0.21,0.16,0,0,N,N,N,N,N,39,-123.11,N,Irrigation,2021
A003601,Appropriative,Licensed,Licensed,N,R_04_MSRR,Y,Y,59,19230820,APPLICATION_ACCEPTANCE_DATE,PRE-1949+1949,0,0,0,0,0,4.32,2.16,4.86,2.26,0,0,0,0,N,N,N,N,N,39.18,-123.2,N,Municipal,2021
A003633,Appropriative,Licensed,Licensed,N,R_17_MSRR,Y,N,33,19230908,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,38.53,-122.86,N,Irrigation,2021
A004307,Appropriative,Licensed,Licensed,N,R_01,N,Y,60,19241107,APPLICATION_RECD_DATE,PRE-1949+1949,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,Y,N,N,39.27,-123.2,N,Irrigation,2021
