USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,2022-09_ALLOCATIONS,2022-09_CURTAILMENT,2022-09_DEMAND,2022-09_SHORTAGE_%,2022-10_ALLOCATIONS,2022-10_CURTAILMENT,2022-10_DEMAND,2022-10_SHORTAGE_%,BASIN,PRIORITY
A014942,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,115
A015348,0.0,1,3.166666667,100.0,0,1,2.5,100,0,1,2.0,100,R_15_M,120
A015759,0.0,1,2.154532333,100.0,0,1,2.0570806669999997,100,0,1,0.032269333,100,R_16_M,129
A015760,0.0,1,1.778779,100.0,0,1,2.026765333,100,0,1,0.12449333300000001,100,R_16_M,130
A016440,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,136
A016457,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,1.89743,100,R_17_M,137
A016524,0.0,1,3.583333333,100.0,0,1,2.733333333,100,0,1,2.523333333,100,R_15_M,139
A016777,0.0,1,0.051199,100.0,0,1,0.06461499999999999,100,0,1,0.037613,100,R_15_M,142
A017056,0.0,1,3.0333333330000003,100.0,0,1,3.423333333,100,0,1,0.47666666700000004,100,R_15_M,144
A017551,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,151
A020573,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.666666667,100,R_15_M,199
A020583,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,200
A021360,0.0,1,0.55,100.0,0,1,0.29933333300000003,100,0,1,0.00020219999999999998,100,R_16_M,220
A021660,0.0,1,2.381164,100.0,0,1,1.386360333,100,0,1,1.4730370000000002,100,R_17_M,221
A021886,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_15_M,225
A022273,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,233
A022359,0.0,1,3.666666667,100.0,0,1,3.0,100,0,1,1.6666666669999999,100,R_15_M,236
A022661,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_14_M,242
A022807,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_14_M,246
A022929,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_14_M,248
A023067,0.0,1,7.25,100.0,0,1,3.5,100,0,1,1.7,100,R_14_M,253
A022608,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,257
A023165,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,258
A023540,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,261
A023639,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,262
A023655,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,263
A023766,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,264
A024268A,0.0,1,16.1,100.0,0,1,8.466666667,100,0,1,0.00020219999999999998,100,R_17_M,269
A024268B,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,270
A024270A,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,1.284334667,100,R_17_M,271
A024270B,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,1.850698,100,R_17_M,272
A024688A,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,281
A024688B,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_16_M,282
A024762A,0.0,1,0.01,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,284
A024762B,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,285
A024891,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,298
A024892A,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,299
A024892B,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,300
A024905,0.0,1,0.00020219999999999998,100.0,0,1,0.00020219999999999998,100,0,1,0.00020219999999999998,100,R_17_M,301
