,USER,2022-06_DEMAND,2022-06_ALLOCATIONS_AF,2022-06_PERCENT_ALLOCATION,BASIN,PRIORITY
6,S008080,0,0,100.0,R_01,10000000
16,S008659,0,0,100.0,R_01,10000000
20,S008824,0,0,100.0,R_01,10000000
23,S010433,0,0,100.0,R_01,10000000
24,S010522,0,0,100.0,R_01,10000000
29,S011135,0.13,0.13,100.0,R_01,10000000
51,S014016,0,0,100.0,R_01,10000000
56,S014292,0.065,0.065,100.0,R_01,10000000
57,S014293,0.035,0.035,100.0,R_01,10000000
62,S014861,0.33,0.33,100.0,R_01,10000000
63,S014862,0.13,0.13,100.0,R_01,10000000
64,S014863,0.065,0.065,100.0,R_01,10000000
65,S014864,0.265,0.265,100.0,R_01,10000000
66,S014865,0.265,0.265,100.0,R_01,10000000
67,S014866,0.065,0.065,100.0,R_01,10000000
77,S014996,0,0,100.0,R_01,10000000
78,S015303,0.005,0.005,100.0,R_01,10000000
79,S015353,0.065,0.065,100.0,R_01,10000000
85,S015641,0.0003,0.0003,100.0,R_01,10000000
91,S015746,0,0,100.0,R_01,10000000
138,S016897,0,0,100.0,R_01,10000000
146,S017203,0,0,100.0,R_01,10000000
151,S017742,0,0,100.0,R_01,10000000
152,S017745,0,0,100.0,R_01,10000000
153,S017748,0.005,0.005,100.0,R_01,10000000
154,S017751,0.225,0.225,100.0,R_01,10000000
170,S018479,0,0,100.0,R_01,10000000
174,S018503,0,0,100.0,R_01,10000000
176,S019039,1.42,1.42,100.0,R_01,10000000
182,S019386,0,0,100.0,R_01,10000000
183,S019394,0,0,100.0,R_01,10000000
184,S019594,0.055,0.055,100.0,R_01,10000000
192,S019924,0.165,0.165,100.0,R_01,10000000
193,S019943,0,0,100.0,R_01,10000000
195,S020148,0,0,100.0,R_01,10000000
196,S020152,0,0,100.0,R_01,10000000
205,S020523,0.003833334,0.003833334,100.0,R_01,10000000
206,S020527,0.005,0.005,100.0,R_01,10000000
207,S020627,1.665,1.665,100.0,R_01,10000000
212,S021321,0.29,0.29,100.0,R_01,10000000
214,S021352,0,0,100.0,R_01,10000000
215,S021386,0,0,100.0,R_01,10000000
224,S021482,0,0,100.0,R_01,10000000
225,S021483,0,0,100.0,R_01,10000000
226,S021484,0,0,100.0,R_01,10000000
227,S021487,0,0,100.0,R_01,10000000
243,S022130,0,0,100.0,R_01,10000000
244,S022312,0,0,100.0,R_01,10000000
271,S023462,0,0,100.0,R_01,10000000
272,S023681,0,0,100.0,R_01,10000000
273,S023685,0,0,100.0,R_01,10000000
284,S023959,0,0,100.0,R_01,10000000
285,S023960,0.025,0.025,100.0,R_01,10000000
303,S025576,0.395,0.395,100.0,R_01,10000000
304,S026053,0,0,100.0,R_01,10000000
305,S026054,0,0,100.0,R_01,10000000
307,S026284,0.0018415,0.0018415,100.0,R_01,10000000
309,S026323,0,0,100.0,R_01,10000000
317,S026687,0.005,0.005,100.0,R_01,10000000
318,S026690,0.01,0.01,100.0,R_01,10000000
319,S026692,0.003,0.003,100.0,R_01,10000000
322,S026792,0,0,100.0,R_01,10000000
323,S026794,0,0,100.0,R_01,10000000
338,S027190,0,0,100.0,R_01,10000000
343,S027379,0.065,0.065,100.0,R_01,10000000
347,S027502,0,0,100.0,R_01,10000000
357,S028118,0,0,100.0,R_01,10000000
363,S028364,0,0,100.0,R_01,10000000
14,S008451,0,0,100.0,R_02,10000000
15,S008453,0,0,100.0,R_02,10000000
49,S013947,2,2,100.0,R_02,10000000
58,S014313,0,0,100.0,R_02,10000000
116,S016698,0,0,100.0,R_02,10000000
117,S016708,0,0,100.0,R_02,10000000
140,S016911,0.35,0.35,100.0,R_02,10000000
149,S017474,0,0,100.0,R_02,10000000
181,S019287,0,0,100.0,R_02,10000000
216,S021387,0.01,0.01,100.0,R_02,10000000
268,S022895,0,0,100.0,R_02,10000000
290,S024188,0.18,0.18,100.0,R_02,10000000
296,S024452,9.67,9.67,100.0,R_02,10000000
308,S026314,0,0,100.0,R_02,10000000
328,S026992,0,0,100.0,R_02,10000000
329,S027032,0,0,100.0,R_02,10000000
330,S027035,0.015,0.015,100.0,R_02,10000000
336,S027137,0.000614,0.000614,100.0,R_02,10000000
361,S028307,0,0,100.0,R_02,10000000
1,S008071,9.18,4.28768424,46.7,R_02_MSRR,10000000
6,S008184,0.38,0.17748584,46.7,R_02_MSRR,10000000
35,S014373,2.265,1.05790902,46.7,R_02_MSRR,10000000
36,S014374,0,0,46.7,R_02_MSRR,10000000
42,S015023,0.745,0.34796566,46.7,R_02_MSRR,10000000
54,S015147,0.015,0.00700602,46.7,R_02_MSRR,10000000
111,S016093,0,0,46.7,R_02_MSRR,10000000
127,S016707,0,0,46.7,R_02_MSRR,10000000
128,S016812,0,0,46.7,R_02_MSRR,10000000
130,S017348,1.33,0.62120044,46.7,R_02_MSRR,10000000
139,S018277,0,0,46.7,R_02_MSRR,10000000
140,S018387,0,0,46.7,R_02_MSRR,10000000
164,S021388,0.035,0.01634738,46.7,R_02_MSRR,10000000
176,S022156,0,0,46.7,R_02_MSRR,10000000
177,S022335,0.275,0.1284437,46.7,R_02_MSRR,10000000
188,S023470,0.465,0.21718662,46.7,R_02_MSRR,10000000
195,S024104,0,0,46.7,R_02_MSRR,10000000
209,S026091,0.005,0.00233534,46.7,R_02_MSRR,10000000
211,S026633,0,0,46.7,R_02_MSRR,10000000
212,S026879,0,0,46.7,R_02_MSRR,10000000
213,S027405,0,0,46.7,R_02_MSRR,10000000
362,S028309,0,0,100.0,R_03,10000000
2,S004241,0,0,100.0,R_04,10000000
13,S008392,0,0,100.0,R_04,10000000
21,S008910,0.000767167,0.000767167,100.0,R_04,10000000
25,S010843,0,0,100.0,R_04,10000000
26,S010889,0.001666667,0.001666667,100.0,R_04,10000000
31,S012429,0,0,100.0,R_04,10000000
32,S012430,0,0,100.0,R_04,10000000
33,S012431,0,0,100.0,R_04,10000000
34,S012432,0,0,100.0,R_04,10000000
35,S012433,0,0,100.0,R_04,10000000
43,S012751,0,0,100.0,R_04,10000000
44,S013187,0,0,100.0,R_04,10000000
50,S013977,0.18,0.18,100.0,R_04,10000000
60,S014724,0,0,100.0,R_04,10000000
61,S014749,0,0,100.0,R_04,10000000
82,S015414,0,0,100.0,R_04,10000000
84,S015621,0.355,0.355,100.0,R_04,10000000
150,S017657,0.0023,0.0023,100.0,R_04,10000000
185,S019643,0,0,100.0,R_04,10000000
245,S022313,0,0,100.0,R_04,10000000
246,S022314,0,0,100.0,R_04,10000000
294,S024410,0.05,0.05,100.0,R_04,10000000
300,S024552,0.01,0.01,100.0,R_04,10000000
316,S026678,0.002557334,0.002557334,100.0,R_04,10000000
339,S027304,0.065,0.065,100.0,R_04,10000000
340,S027305,0.01,0.01,100.0,R_04,10000000
342,S027372,0.01,0.01,100.0,R_04,10000000
344,S027382,0.004637167,0.004637167,100.0,R_04,10000000
346,S027491,0.01,0.01,100.0,R_04,10000000
7,S008596,0.42,0.19616856,46.7,R_04_MSRR,10000000
10,S013153,0,0,46.7,R_04_MSRR,10000000
34,S014322,0,0,46.7,R_04_MSRR,10000000
60,S015228,25.975,12.1320913,46.7,R_04_MSRR,10000000
74,S015362,0,0,46.7,R_04_MSRR,10000000
81,S015532,0,0,46.7,R_04_MSRR,10000000
88,S015800,0,0,46.7,R_04_MSRR,10000000
119,S016366,0,0,46.7,R_04_MSRR,10000000
120,S016367,0,0,46.7,R_04_MSRR,10000000
121,S016368,0,0,46.7,R_04_MSRR,10000000
122,S016369,0,0,46.7,R_04_MSRR,10000000
123,S016370,0,0,46.7,R_04_MSRR,10000000
158,S020709,22.16,10.35022688,46.7,R_04_MSRR,10000000
161,S021381,0,0,46.7,R_04_MSRR,10000000
162,S021384,0,0,46.7,R_04_MSRR,10000000
163,S021385,0,0,46.7,R_04_MSRR,10000000
169,S021475,12.92,6.03451856,46.7,R_04_MSRR,10000000
210,S026217,1.985,0.92712998,46.7,R_04_MSRR,10000000
215,S028323,0,0,46.7,R_04_MSRR,10000000
1,S002341,0,0,100.0,R_05,10000000
7,S008081,0,0,100.0,R_05,10000000
12,S008384,0,0,100.0,R_05,10000000
18,S008765,0.99,0.99,100.0,R_05,10000000
19,S008766,1.01,1.01,100.0,R_05,10000000
22,S009525,0.145,0.145,100.0,R_05,10000000
27,S010997,0,0,100.0,R_05,10000000
38,S012593,0,0,100.0,R_05,10000000
39,S012594,0,0,100.0,R_05,10000000
41,S012597,0,0,100.0,R_05,10000000
42,S012749,0.125,0.125,100.0,R_05,10000000
80,S015403,0,0,100.0,R_05,10000000
81,S015404,0,0,100.0,R_05,10000000
86,S015689,0,0,100.0,R_05,10000000
90,S015745,0.08,0.08,100.0,R_05,10000000
111,S016363,0,0,100.0,R_05,10000000
112,S016364,0,0,100.0,R_05,10000000
123,S016781,0,0,100.0,R_05,10000000
124,S016782,0,0,100.0,R_05,10000000
125,S016783,0,0,100.0,R_05,10000000
194,S020069,0.09,0.09,100.0,R_05,10000000
213,S021339,0,0,100.0,R_05,10000000
221,S021398,0,0,100.0,R_05,10000000
223,S021466,0.000225,0.000225,100.0,R_05,10000000
228,S021985,0.001833334,0.001833334,100.0,R_05,10000000
229,S021986,0.59,0.59,100.0,R_05,10000000
259,S022724,0,0,100.0,R_05,10000000
265,S022877,0.33,0.33,100.0,R_05,10000000
266,S022879,0,0,100.0,R_05,10000000
267,S022882,0,0,100.0,R_05,10000000
312,S026644,0,0,100.0,R_05,10000000
326,S026905,0,0,100.0,R_05,10000000
348,S027519,0,0,100.0,R_05,10000000
349,S027572,0.005,0.005,100.0,R_05,10000000
352,S027644,0,0,100.0,R_05,10000000
3,S008075,0,0,47.5,R_05_MSRR,10000000
4,S008082,0,0,47.5,R_05_MSRR,10000000
61,S015238,0.83,0.39453303,47.5,R_05_MSRR,10000000
82,S015677,1.5,0.7130115,47.5,R_05_MSRR,10000000
83,S015690,0.001316667,0.000625866,47.5,R_05_MSRR,10000000
84,S015691,0,0,47.5,R_05_MSRR,10000000
89,S015805,1.5,0.7130115,47.5,R_05_MSRR,10000000
90,S015806,1.165,0.553772265,47.5,R_05_MSRR,10000000
117,S016329,0,0,47.5,R_05_MSRR,10000000
118,S016352,0.635,0.301841535,47.5,R_05_MSRR,10000000
126,S016671,0,0,47.5,R_05_MSRR,10000000
131,S017791,0,0,47.5,R_05_MSRR,10000000
148,S019291,4.365,2.074863465,47.5,R_05_MSRR,10000000
160,S021309,0,0,47.5,R_05_MSRR,10000000
180,S022725,0,0,47.5,R_05_MSRR,10000000
181,S022726,0,0,47.5,R_05_MSRR,10000000
196,S024370,0,0,47.5,R_05_MSRR,10000000
201,S024597,0.15,0.07130115,47.5,R_05_MSRR,10000000
0,S002059,0,0,100.0,R_06,10000000
11,S008348,0,0,100.0,R_06,10000000
40,S012595,0,0,100.0,R_06,10000000
59,S014554,0.00191725,0.00191725,100.0,R_06,10000000
94,S015790,0.265,0.265,100.0,R_06,10000000
96,S015830,0,0,100.0,R_06,10000000
97,S015831,0,0,100.0,R_06,10000000
114,S016670,0.45,0.45,100.0,R_06,10000000
127,S016819,0,0,100.0,R_06,10000000
128,S016836,0,0,100.0,R_06,10000000
129,S016837,0,0,100.0,R_06,10000000
130,S016838,0,0,100.0,R_06,10000000
131,S016839,0,0,100.0,R_06,10000000
132,S016840,0,0,100.0,R_06,10000000
